region_country,value
Australia,992558
Austria,1205520
Belgium,2519358
Brazil,590291
Bulgaria,6793
Canada,3484520
Chile,34995
China,123155570
Colombia,95692
Costa Rica,66691
Croatia,10757
Cyprus,4120
Czech Republic,50100
Denmark,1618421
Estonia,7185
Finland,1026247
France,8332534
Germany,13466470
Greece,167356
Hungary,56335
Iceland,246770
India,786865
Indonesia,200913
Ireland,118570
Israel,782515
Italy,2474040
Japan,4134330
Korea,2691372
Latvia,6777
Lithuania,11273
Luxembourg,58900
Malaysia,213471
Mexico,239591
Netherlands,4515994
New Zealand,468859
Norway,5738825
Poland,471935
Portugal,965145
Romania,49288
Russia,119968
Seychelles,338
Slovakia,17751
Slovenia,17863
South Africa,23563
Spain,1876970
Sweden,3243578
Switzerland,1528982
Thailand,745843
Turkiye,496038
United Kingdom,8692377
USA,29197800
Uzbekistan,74920
Viet Nam,265324
